City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Matara,LK,79.12,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
3,Kandrian,PG,77.67,light rain,-6.2167,149.55,Kandrian Station
10,Souillac,MU,75.58,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
21,Saint-Pierre,RE,76.68,overcast clouds,-21.3393,55.4781,Alize Plage
22,Atuona,PF,77.5,few clouds,-9.8,-139.0333,Villa Enata
26,Buenavista,PH,76.64,scattered clouds,8.9769,125.4089,Room For Rent
27,Torgau,DE,80.29,overcast clouds,51.5667,13.0,Hotel-Pension zum Markt
41,Mahibadhoo,MV,83.5,clear sky,3.7833,72.9667,Omadhoo Inn
46,Berlin,DE,80.08,clear sky,52.5244,13.4105,Hotel Motel One Berlin-Hackescher Markt
47,Escarcega,MX,86.27,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
49,Salalah,OM,84.13,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
53,Butaritari,KI,81.61,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
55,Karachi,PK,85.82,dust,24.9056,67.0822,Sadaat
63,San Ignacio,BZ,82.54,clear sky,17.1561,-89.0714,Rainforest Haven Inn
65,Kavieng,PG,82.06,light rain,-2.5744,150.7967,Nusa Island Retreat
69,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
70,Hamilton,US,78.73,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
71,Bouafle,CI,88.97,overcast clouds,6.9904,-5.7442,Hotel Zaouli
76,Labuhan,ID,79.68,moderate rain,-6.8844,112.2051,DoubleFAG
79,Hue,VN,80.71,broken clouds,16.4667,107.6,Saigon Morin Hotel
81,Kraljevo,RS,82.4,clear sky,43.7258,20.6894,Hotel Turist
91,Faanui,PF,80.15,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
94,Touros,BR,86.32,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
95,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
96,Forio,IT,77.77,clear sky,40.7342,13.8646,Hotel Terme Providence
97,Acarau,BR,83.75,overcast clouds,-2.8856,-40.12,castelo pizzaria
99,Badarpur,IN,77.05,clear sky,24.9,92.6,Rejauls home
102,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
107,Deltona,US,83.93,scattered clouds,28.9005,-81.2637,Travelodge by Wyndham Deltona
111,Itarema,BR,84.18,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
112,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
113,Lilongwe,MW,77.2,scattered clouds,-13.9669,33.7873,Spendwise furnished apartments.
114,Hambantota,LK,82.74,few clouds,6.1241,81.1185,Bungalow 63
115,Hithadhoo,MV,83.68,overcast clouds,-0.6,73.0833,Scoop Guest House
121,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
124,Sola,VU,81.7,clear sky,-13.8833,167.55,Leumerus Bungalows
129,San Pedro,PH,76.35,light rain,14.35,121.0167,Esquivel's Garden And Resort
131,Champerico,GT,81.14,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
133,Yarada,IN,86.32,scattered clouds,17.65,83.2667,Yarada Jungle Beach Resorts
138,Jiwani,PK,85.77,clear sky,25.05,61.7417,Hamza hotel jiwani
140,Alabaster,US,79.29,overcast clouds,33.2443,-86.8164,"Candlewood Suites Alabaster, an IHG Hotel"
147,Mizdah,LY,77.56,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
148,Oswego,US,75.9,broken clouds,43.4501,-76.1497,S & E Mobile Home Park
151,Zhezkazgan,KZ,76.98,clear sky,47.8043,67.7144,Hotel Zumrat
155,Keffi,NG,85.12,overcast clouds,8.8486,7.8736,Imam Family
157,Wanning,CN,77.86,scattered clouds,18.8003,110.3967,Paradise Hotel
163,Namatanai,PG,79.3,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
168,Bengkulu,ID,78.53,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
171,Cockburn Town,TC,80.46,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
172,Santa Ines,BR,79.77,overcast clouds,-3.6667,-45.38,Palace hotel
174,Puerto Escondido,MX,79.63,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
181,Trincomalee,LK,84.43,scattered clouds,8.5711,81.2335,Welcombe Hotel
182,Noumea,NC,78.01,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
184,Kalmunai,LK,86.56,broken clouds,7.4167,81.8167,VS Villa
185,Mahajanga,MG,89.62,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
188,Birjand,IR,86.47,few clouds,32.8663,59.2211,Birjand Tourist Hotel
194,Karangasem,ID,79.75,overcast clouds,-8.45,115.6167,Villa Campuhan
195,Mitsamiouli,KM,81.39,broken clouds,-11.3847,43.2844,Foyer ADM
196,Bac Lieu,VN,83.07,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
198,Hays,US,78.94,overcast clouds,30.0502,-98.0336,Sinya on Lone Man Creek
201,Hilo,US,83.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
202,Lasa,IT,80.69,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
203,Kerema,PG,77.52,scattered clouds,-7.9631,145.7785,Frena Lodge
204,Balaka,MW,80.17,scattered clouds,-14.9793,34.9558,Sun Village Lodge
208,Biak,ID,77.2,broken clouds,-0.9131,122.8766,Penginapan Kim
210,Harper,LR,80.13,light rain,4.375,-7.7169,Screensaver
214,Nabire,ID,76.8,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
216,Mana,GF,78.8,overcast clouds,5.6592,-53.7767,LE SAMANA
218,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
222,Carmen,MX,84.24,clear sky,18.6333,-91.8333,Hotel Lossandes
223,Gunjur,GM,89.67,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
226,Sao Filipe,CV,75.18,broken clouds,14.8961,-24.4956,Hotel Xaguate
227,Tulagi,SB,82.67,clear sky,-9.0996,160.1476,Raiders Hotel & Dive
