City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Issa,53.8705,44.8578,47.03,63,77,16.28,RU,broken clouds
1,Matara,5.9485,80.5353,79.12,88,92,8.59,LK,overcast clouds
2,Vardo,70.3705,31.1107,37.38,75,75,16.11,NO,broken clouds
3,Kandrian,-6.2167,149.55,77.67,89,44,6.35,PG,light rain
4,Rikitea,-23.1203,-134.9692,73.47,80,100,11.59,PF,overcast clouds
5,Bilma,18.6853,12.9164,99.99,12,98,23.15,NE,overcast clouds
6,Mataura,-46.1927,168.8643,41.41,94,100,12.66,NZ,light rain
7,Nanortalik,60.1432,-45.2371,38.7,75,79,6.24,GL,broken clouds
8,Arraial Do Cabo,-22.9661,-42.0278,69.76,73,40,21.85,BR,scattered clouds
9,Punta Arenas,-53.15,-70.9167,41.11,87,100,6.91,CL,overcast clouds
10,Souillac,-20.5167,57.5167,75.58,83,75,13.8,MU,broken clouds
11,Cabo San Lucas,22.8909,-109.9124,73.62,66,3,8.01,MX,clear sky
12,Cape Town,-33.9258,18.4232,63.01,71,20,13.8,ZA,few clouds
13,Moussoro,13.6408,16.4901,108.79,6,17,17.11,TD,few clouds
14,Clyde River,70.4692,-68.5914,23.23,86,75,12.66,CA,broken clouds
15,Port Alfred,-33.5906,26.891,58.17,95,100,4.0,ZA,moderate rain
16,Merauke,-8.4667,140.3333,78.53,81,11,12.55,ID,few clouds
17,Longyearbyen,78.2186,15.6401,31.84,64,0,8.05,SJ,clear sky
18,Chuy,-33.6971,-53.4616,55.06,63,0,9.4,UY,clear sky
19,Ostrovnoy,68.0531,39.5131,34.29,65,100,10.02,RU,overcast clouds
20,Yellowknife,62.456,-114.3525,45.12,39,75,0.0,CA,broken clouds
21,Saint-Pierre,-21.3393,55.4781,76.68,65,100,6.91,RE,overcast clouds
22,Atuona,-9.8,-139.0333,77.5,70,12,8.37,PF,few clouds
23,Port Elizabeth,-33.918,25.5701,58.1,96,100,4.0,ZA,overcast clouds
24,Coquimbo,-29.9533,-71.3436,60.53,51,0,6.91,CL,clear sky
25,Pevek,69.7008,170.3133,33.31,99,100,5.53,RU,overcast clouds
26,Buenavista,8.9769,125.4089,76.64,92,42,6.11,PH,scattered clouds
27,Torgau,51.5667,13.0,80.29,61,98,4.16,DE,overcast clouds
28,Vila Franca Do Campo,37.7167,-25.4333,63.01,63,46,5.97,PT,scattered clouds
29,Ponta Do Sol,32.6667,-17.1,74.12,81,38,4.03,PT,scattered clouds
30,Kaitangata,-46.2817,169.8464,40.96,92,100,18.41,NZ,moderate rain
31,Qaanaaq,77.484,-69.3632,16.63,69,15,1.7,GL,few clouds
32,Albany,42.6001,-73.9662,69.51,79,25,1.99,US,scattered clouds
33,Lompoc,34.6391,-120.4579,56.62,77,100,7.0,US,haze
34,Kropotkin,45.4375,40.5756,60.57,70,34,15.61,RU,scattered clouds
35,Hermanus,-34.4187,19.2345,56.8,63,87,7.07,ZA,light rain
36,Vaini,-21.2,-175.2,73.56,88,75,4.61,TO,broken clouds
37,Ushuaia,-54.8,-68.3,44.26,70,20,6.91,AR,few clouds
38,Barrow,71.2906,-156.7887,30.22,93,100,11.5,US,fog
39,Busselton,-33.65,115.3333,58.01,82,3,6.2,AU,clear sky
40,Jamestown,42.097,-79.2353,70.02,81,100,6.91,US,overcast clouds
41,Mahibadhoo,3.7833,72.9667,83.5,76,8,13.22,MV,clear sky
42,Southbridge,42.0751,-72.0334,66.18,53,34,2.75,US,scattered clouds
43,Mar Del Plata,-38.0023,-57.5575,51.82,82,0,11.5,AR,clear sky
44,Bluff,-46.6,168.3333,51.24,77,100,35.88,NZ,overcast clouds
45,Pisco,-13.7,-76.2167,66.25,82,20,3.44,PE,mist
46,Berlin,52.5244,13.4105,80.08,39,0,8.01,DE,clear sky
47,Escarcega,18.6089,-90.7454,86.27,56,96,6.78,MX,overcast clouds
48,Airai,-8.9266,125.4092,58.3,87,16,3.53,TL,few clouds
49,Salalah,17.0151,54.0924,84.13,74,34,6.67,OM,scattered clouds
50,Carnarvon,-24.8667,113.6333,72.7,66,0,19.44,AU,clear sky
51,New Norfolk,-42.7826,147.0587,46.71,81,8,2.19,AU,clear sky
52,Ancud,-41.8697,-73.8203,52.41,89,99,25.97,CL,light rain
53,Butaritari,3.0707,172.7902,81.61,71,95,13.67,KI,overcast clouds
54,Kaeo,-35.1,173.7833,54.32,81,89,11.05,NZ,overcast clouds
55,Karachi,24.9056,67.0822,85.82,70,40,18.41,PK,dust
56,Vao,-22.6667,167.4833,74.98,83,100,22.44,NC,overcast clouds
57,Katsuura,35.1333,140.3,66.72,79,100,14.2,JP,overcast clouds
58,Launceston,-41.45,147.1667,44.15,94,75,4.61,AU,broken clouds
59,Bethel,41.3712,-73.414,64.78,88,100,5.75,US,mist
60,College,64.8569,-147.8028,48.79,69,20,6.91,US,few clouds
61,Semirom,31.4167,51.5667,73.18,15,0,10.07,IR,clear sky
62,Tasiilaq,65.6145,-37.6368,37.56,76,91,0.65,GL,overcast clouds
63,San Ignacio,17.1561,-89.0714,82.54,78,0,3.44,BZ,clear sky
64,Kaiyuan,23.6977,103.3037,63.3,94,100,4.74,CN,overcast clouds
65,Kavieng,-2.5744,150.7967,82.06,76,7,10.71,PG,light rain
66,Nuuk,64.1835,-51.7216,30.81,100,100,9.22,GL,fog
67,Gayny,60.3071,54.3241,35.15,99,100,5.53,RU,snow
68,Mulege,26.8833,-111.9833,70.74,36,0,6.6,MX,clear sky
69,Puerto Ayora,-0.7393,-90.3518,76.96,97,65,1.01,EC,broken clouds
70,Hamilton,39.1834,-84.5333,78.73,82,0,16.11,US,clear sky
71,Bouafle,6.9904,-5.7442,88.97,48,100,3.4,CI,overcast clouds
72,Sao Paulo,-23.5475,-46.6361,60.69,67,40,5.01,BR,scattered clouds
73,Namie,37.4833,141.0,66.97,59,100,5.53,JP,overcast clouds
74,Broken Hill,-31.95,141.4333,50.88,72,89,9.78,AU,overcast clouds
75,Antofagasta,-23.65,-70.4,72.21,49,4,7.36,CL,clear sky
76,Labuhan,-6.8844,112.2051,79.68,85,100,7.16,ID,moderate rain
77,Podor,16.6527,-14.9587,105.3,9,2,13.0,MR,clear sky
78,Thompson,55.7435,-97.8558,32.16,69,100,12.66,CA,overcast clouds
79,Hue,16.4667,107.6,80.71,89,75,5.75,VN,broken clouds
80,Sorland,67.667,12.6934,46.26,100,100,10.36,NO,light rain
81,Kraljevo,43.7258,20.6894,82.4,14,0,1.14,RS,clear sky
82,Anjangaon,21.1631,77.3094,104.36,15,100,8.66,IN,overcast clouds
83,Vostok,46.4856,135.8833,49.86,63,52,6.13,RU,broken clouds
84,Yartsevo,55.0667,32.6964,54.39,51,100,2.73,RU,overcast clouds
85,Santo Angelo,-28.2992,-54.2631,53.92,94,20,4.61,BR,fog
86,Berlevag,70.8578,29.0864,39.15,60,75,13.8,NO,broken clouds
87,Chokurdakh,70.6333,147.9167,28.81,96,100,7.63,RU,overcast clouds
88,Mareeba,-17.0,145.4333,67.48,97,23,2.62,AU,few clouds
89,Cadiz,36.5,-5.75,94.42,34,100,20.89,ES,overcast clouds
90,Hammerfest,70.6634,23.6821,45.05,57,0,10.36,NO,clear sky
91,Faanui,-16.4833,-151.75,80.15,71,11,11.41,PF,few clouds
92,Saskylakh,71.9167,114.0833,21.74,97,49,1.25,RU,scattered clouds
93,Aklavik,68.2191,-135.0107,37.4,75,75,3.44,CA,broken clouds
94,Touros,-5.1989,-35.4608,86.32,61,35,8.03,BR,scattered clouds
95,Georgetown,5.4112,100.3354,85.95,74,20,4.61,MY,few clouds
96,Forio,40.7342,13.8646,77.77,64,8,10.0,IT,clear sky
97,Acarau,-2.8856,-40.12,83.75,72,99,6.35,BR,overcast clouds
98,Hasaki,35.7333,140.8333,64.29,76,100,14.09,JP,overcast clouds
99,Badarpur,24.9,92.6,77.05,89,0,2.98,IN,clear sky
100,Waipawa,-41.4122,175.5153,43.07,76,24,11.23,NZ,few clouds
101,Constitucion,-35.3333,-72.4167,56.16,83,45,3.2,CL,scattered clouds
102,Saint-Philippe,-21.3585,55.7679,76.59,84,54,13.53,RE,light rain
103,Bell Ville,-32.6259,-62.6887,60.8,48,11,15.48,AR,few clouds
104,Sao Francisco,-15.9486,-44.8644,73.71,25,99,4.16,BR,overcast clouds
105,Mosalsk,54.4881,34.9817,55.85,53,100,3.74,RU,overcast clouds
106,Prescott,34.54,-112.4685,63.86,33,0,13.0,US,clear sky
107,Deltona,28.9005,-81.2637,83.93,72,40,10.36,US,scattered clouds
108,Nome,64.5011,-165.4064,55.47,45,0,11.5,US,clear sky
109,Puerto Rico,-26.796,-55.024,58.78,57,0,3.06,AR,clear sky
110,Slave Lake,55.2834,-114.769,39.18,65,0,10.36,CA,clear sky
111,Itarema,-2.9248,-39.9167,84.18,71,95,6.29,BR,overcast clouds
112,San Cristobal,7.7669,-72.225,77.18,58,96,8.21,VE,overcast clouds
